raw_grade,normalized_material_family
S355,Structural Steel S355
A572 Gr50,Structural Steel S355
AISI 4140,Alloy Steel 42CrMo
ASTM A48 Class 30,Gray Cast Iron
42CrMo4,Alloy Steel 42CrMo
A36,Structural Steel S250
E350,Structural Steel S355
AISI 4340,Alloy Steel High Strength
6061-T6,Aluminum Alloy 6xxx
6082,Aluminum Alloy 6xxx
HE30,Aluminum Alloy 6xxx
SS 304,Stainless Steel Austenitic
1.4301,Stainless Steel Austenitic
AISI D2,Tool Steel Cold Work
FG260,Gray Cast Iron
PP,Plastic PP
7075-T6,Aluminum Alloy 7075-T6
